data,hora,taxa
2025/11/28,09:46:22,15.33396895396599
2025/11/28,09:46:23,14.562775131452586
2025/11/28,09:46:24,15.20302152613591
2025/11/28,09:46:25,15.23674993697758
2025/11/28,09:46:26,14.54174227976323
2025/11/28,09:46:27,14.934225232756162
2025/11/28,09:46:28,15.39778863303833
2025/11/28,09:46:29,14.898576179880372
2025/11/28,09:46:30,14.896901466033011
2025/11/28,09:46:31,14.475820617741174
2025/11/28,09:47:59,14.972390163946068
2025/11/28,09:48:00,14.676047375408938
2025/11/28,09:48:01,14.669126466574962
2025/11/28,09:48:02,15.03259872741931
2025/11/28,09:48:03,15.144750251095543
2025/11/28,09:48:04,14.517233252204017
2025/11/28,09:48:05,14.592740141611692
2025/11/28,09:48:06,15.030355400412915
2025/11/28,09:48:07,15.279728157298115
2025/11/28,09:48:08,14.493409546228232
